Ligando,Pose,Affinity,CNNscore,CNNaffinity
ligando_044,8,-9.35,0.4791,6.639
ligando_044,9,-8.25,0.2836,6.012
ligando_044,10,-8.82,0.2639,6.482
ligando_045,1,-8.82,0.2356,6.003
ligando_045,2,-8.64,0.1366,5.522
ligando_045,3,-9.0,0.1334,5.893
ligando_045,4,-8.68,0.133,6.22
ligando_045,5,-9.57,0.1201,5.071
ligando_045,6,-8.85,0.1082,5.645
ligando_045,7,-8.0,0.0978,5.419
ligando_045,8,-8.03,0.0957,5.731
ligando_045,9,-8.22,0.0897,5.762
ligando_045,10,-8.06,0.0847,5.113
ligando_046,1,-8.47,0.2319,5.899
ligando_046,2,-8.01,0.188,5.552
ligando_046,3,-8.04,0.1372,5.406
ligando_046,4,-6.95,0.1091,4.912
ligando_046,5,-8.63,0.1066,5.47
ligando_046,6,-7.13,0.1006,4.879
ligando_046,7,-8.54,0.1004,5.074
ligando_046,8,-8.11,0.099,4.95
ligando_046,9,-7.96,0.0949,5.016
ligando_046,10,-7.61,0.091,5.39
ligando_047,1,-8.83,0.4771,6.413
ligando_047,2,-3.48,0.4537,6.595
ligando_047,3,-5.5,0.3672,5.148
ligando_047,4,5.25,0.2658,5.29
ligando_047,5,3.34,0.2014,5.483
ligando_047,6,-6.33,0.191,4.77
ligando_047,7,16.21,0.1777,5.363
ligando_047,8,-7.84,0.1336,5.946
ligando_047,9,24.54,0.0998,4.88
ligando_047,10,-3.15,0.0923,5.283
ligando_048,1,-7.7,0.5129,7.418
ligando_048,2,-10.25,0.2167,6.982
ligando_048,3,-9.72,0.1057,6.689
ligando_048,4,-8.07,0.0984,6.517
ligando_048,5,-10.34,0.0822,5.51
ligando_048,6,-7.04,0.0792,6.018
ligando_048,7,-8.91,0.0709,6.214
ligando_048,8,-9.51,0.0632,5.618
ligando_048,9,-8.69,0.0609,6.439
ligando_048,10,-3.85,0.0546,5.153
ligando_049,1,-6.7,0.2996,6.104
ligando_049,2,-7.97,0.2404,5.141
ligando_049,3,-8.53,0.2017,5.423
ligando_049,4,-8.9,0.1956,5.279
ligando_049,5,-8.51,0.1806,5.353
ligando_049,6,-6.39,0.1718,5.091
ligando_049,7,-5.49,0.167,5.279
ligando_049,8,-5.74,0.1665,5.422
ligando_049,9,-8.8,0.1554,4.834
ligando_049,10,-7.99,0.123,4.813
ligando_050,1,-9.24,0.3679,6.332
ligando_050,2,-9.11,0.2744,6.158
ligando_050,3,-7.0,0.2327,5.344
ligando_050,4,-9.35,0.0771,5.669
ligando_050,5,-2.58,0.0694,4.283
ligando_050,6,-8.2,0.0347,3.967
ligando_050,7,-7.82,0.0276,5.015
ligando_050,8,-7.51,0.0221,4.477
ligando_050,9,-9.84,0.021,4.002
ligando_050,10,-8.15,0.0194,4.758
